Date,Open,High,Low,Close,Volume
2025-10-22,470.34,472.68,466.53,472.03,52373808
2025-10-23,472.03,476.17,472.01,476.0,53372616
2025-10-24,476.0,477.41,474.06,474.21,71418451
2025-10-27,474.21,476.4,473.12,473.16,66507274
2025-10-28,473.16,476.89,464.29,470.41,60722981
2025-10-29,470.41,476.33,468.2,476.24,53537752
2025-10-30,476.24,481.58,476.15,481.28,69064418
2025-10-31,481.28,483.19,480.21,481.63,73774832
2025-11-03,481.63,482.62,476.0,477.31,89142299
2025-11-04,477.31,477.57,472.02,472.04,51181297
2025-11-05,472.04,482.34,471.16,479.54,83505120
2025-11-06,479.54,486.4,479.06,481.37,68926478
2025-11-07,481.37,484.0,480.85,481.92,66880471
2025-11-10,481.92,487.92,481.91,487.27,96756974
2025-11-11,487.27,488.03,481.5,485.03,97459352
2025-11-12,485.03,491.23,483.73,489.43,71927600
2025-11-13,489.43,491.07,489.03,490.58,70950313
2025-11-14,490.58,498.55,490.46,497.45,59860639
2025-11-17,497.45,500.64,493.8,494.8,71182134
2025-11-18,494.8,497.0,493.33,493.46,85289015
2025-11-19,493.46,493.91,491.48,491.91,71917901
2025-11-20,491.91,492.38,483.4,485.06,85480238
2025-11-21,485.06,486.18,478.95,481.89,64512065
2025-11-24,481.89,482.26,479.47,479.47,52611713
2025-11-25,479.47,485.53,478.98,481.65,66449666
2025-11-26,481.65,482.27,474.93,477.31,50628707
2025-11-27,477.31,484.75,475.25,483.0,96676265
2025-11-28,483.0,485.4,479.23,484.32,66557252
2025-12-01,484.32,486.94,481.85,481.93,95885023
2025-12-02,481.93,488.12,480.28,486.29,61177003
2025-12-03,486.29,488.16,485.87,487.76,75192939
2025-12-04,487.76,487.84,486.24,486.64,68530530
2025-12-05,486.64,492.7,485.49,489.04,70976684
2025-12-08,489.04,489.8,478.07,481.82,52658096
2025-12-09,481.82,487.09,481.53,485.72,57925194
2025-12-10,485.72,487.04,483.05,484.29,109510284
2025-12-11,484.29,486.94,482.02,485.43,69018350
2025-12-12,485.43,487.66,484.62,484.85,49859013
2025-12-15,484.85,491.98,482.75,489.9,61704116
2025-12-16,489.9,492.62,489.13,492.36,64064951
2025-12-17,492.36,495.2,485.25,486.8,66653380
2025-12-18,486.8,489.9,483.42,487.94,56277723
2025-12-19,487.94,489.67,487.21,488.91,88010636
2025-12-22,488.91,492.41,487.09,490.03,84095743
2025-12-23,490.03,496.01,487.39,492.27,80465473
2025-12-24,492.27,499.18,491.69,498.42,50287001
2025-12-25,498.42,510.36,495.25,510.0,58672382
2025-12-26,510.0,514.37,509.22,510.95,87215710
2025-12-29,510.95,513.14,504.72,505.4,51730858
2025-12-30,505.4,506.33,503.22,503.32,60617480
2025-12-31,503.32,503.94,497.72,499.78,50566715
2026-01-01,499.78,501.54,496.7,499.76,70061392
2026-01-02,499.76,501.71,495.34,497.04,60932030
2026-01-05,497.04,505.51,496.27,503.94,66022547
2026-01-06,503.94,505.12,500.41,500.72,80556185
2026-01-07,500.72,502.89,500.5,500.71,70909215
2026-01-08,500.71,507.06,500.63,505.22,58132877
2026-01-09,505.22,510.59,501.57,508.39,68963705
2026-01-12,508.39,516.78,506.18,513.65,56992689
2026-01-13,513.65,514.43,506.99,508.64,57373492
2026-01-14,508.64,513.06,507.76,511.51,53000759
2026-01-15,511.51,515.26,502.37,506.13,64395466
2026-01-16,506.13,507.51,505.81,507.45,70869513
2026-01-19,507.45,518.51,504.29,516.37,52290705
2026-01-20,516.37,517.91,508.69,510.37,53176977
2026-01-21,510.37,511.09,501.38,504.19,77342464
2026-01-22,504.19,508.96,502.09,506.78,51136331
2026-01-23,506.78,509.83,503.7,505.68,94252185
2026-01-26,505.68,510.43,503.92,509.62,61141624
2026-01-27,509.62,509.68,507.84,508.01,68358641
2026-01-28,508.01,508.15,503.01,503.09,92584835
2026-01-29,503.09,512.02,501.55,511.74,68862812
2026-01-30,511.74,513.26,509.03,509.15,51742172
2026-02-02,509.15,512.34,508.64,512.13,66798549
2026-02-03,512.13,514.07,508.5,508.98,60396694
2026-02-04,508.98,510.27,506.21,510.26,71174622
2026-02-05,510.26,511.51,503.7,504.29,64317282
2026-02-06,504.29,505.22,503.98,504.91,62574447
2026-02-09,504.91,506.88,502.87,503.42,60329293
2026-02-10,503.42,506.46,502.94,504.03,72506330
2026-02-11,504.03,504.92,502.48,503.59,57130529
2026-02-12,503.59,506.37,503.02,505.88,76707970
2026-02-13,505.88,506.4,501.82,503.11,77536186
2026-02-16,503.11,507.3,502.02,504.24,90465742
2026-02-17,504.24,509.5,501.1,509.03,86494534
2026-02-18,509.03,514.18,507.79,508.56,54113006
2026-02-19,508.56,509.85,500.27,502.83,63510206
2026-02-20,502.83,507.78,499.62,504.25,68191315
2026-02-23,504.25,506.8,501.96,503.36,77443771
2026-02-24,503.36,505.58,501.36,505.35,56483559
2026-02-25,505.35,506.83,504.12,505.3,88741551
2026-02-26,505.3,507.94,504.57,507.31,52454584
2026-02-27,507.31,508.49,499.91,500.03,75397168
2026-03-02,500.03,500.76,491.4,492.59,54876287
2026-03-03,492.59,493.25,481.05,482.79,76667460
2026-03-04,482.79,482.81,478.91,480.37,76307312
2026-03-05,480.37,481.41,478.71,480.02,99762778
2026-03-06,480.02,485.72,479.44,485.12,83771543
2026-03-09,485.12,485.19,481.21,482.96,104255291
2026-03-10,482.96,483.05,482.07,482.46,93506064
2026-03-11,482.46,485.35,480.59,482.52,66744364
2026-03-12,482.52,484.04,479.84,481.85,54415276
2026-03-13,481.85,482.5,476.82,478.07,54642486
2026-03-16,478.07,483.69,477.13,482.73,61679699
2026-03-17,482.73,487.87,480.62,487.4,54045859
2026-03-18,487.4,487.8,482.49,483.85,81820393
2026-03-19,483.85,486.96,483.7,485.17,63852640
2026-03-20,485.17,490.6,484.32,489.37,91196645
2026-03-23,489.37,503.41,489.24,499.42,73829957
2026-03-24,499.42,506.76,497.47,506.51,72045322
2026-03-25,506.51,510.46,503.18,508.77,53142766
2026-03-26,508.77,513.58,508.49,512.02,73719776
2026-03-27,512.02,515.77,511.0,515.08,54423944
2026-03-30,515.08,517.19,511.29,513.61,69526043
2026-03-31,513.61,514.34,509.95,510.4,82259096
2026-04-01,510.4,512.52,502.51,503.27,114315352
2026-04-02,503.27,508.03,501.84,507.8,106005132
2026-04-03,507.8,508.55,504.48,506.94,78648071
2026-04-06,506.94,511.24,503.04,510.2,99917839
2026-04-07,510.2,514.41,506.07,513.01,81159921
2026-04-08,513.01,513.9,510.92,512.32,64027394
2026-04-09,512.32,513.07,503.23,504.73,64221603
2026-04-10,504.73,505.42,497.54,502.18,91296574
2026-04-13,502.18,505.77,498.21,503.53,70395379
2026-04-14,503.53,505.33,493.17,495.56,61217193
2026-04-15,495.56,500.09,494.88,496.11,54431241
2026-04-16,496.11,497.86,495.49,497.64,68721746
2026-04-17,497.64,498.86,492.09,495.42,69481521
2026-04-20,495.42,507.84,492.8,503.85,82351528
2026-04-21,503.85,506.76,500.87,500.98,68794678
2026-04-22,500.98,501.17,499.0,499.87,68533812
2026-04-23,499.87,500.62,490.67,495.19,68782104
2026-04-24,495.19,496.25,492.93,494.33,50509044
2026-04-27,494.33,496.14,493.07,493.6,72134195
2026-04-28,493.6,502.06,493.44,500.7,60898973
2026-04-29,500.7,511.58,499.36,507.62,60739753
2026-04-30,507.62,512.09,504.79,510.85,55545574
2026-05-01,510.85,515.11,509.49,514.51,79442449
2026-05-04,514.51,518.78,509.7,510.45,54210989
2026-05-05,510.45,511.21,507.04,507.68,97770740
2026-05-06,507.68,510.79,505.43,506.97,53910776
2026-05-07,506.97,507.85,500.32,501.61,62604024
2026-05-08,501.61,505.19,500.9,504.96,71850127
2026-05-11,504.96,508.11,502.46,508.03,77437198
2026-05-12,508.03,510.86,505.07,510.03,67118874
2026-05-13,510.03,510.45,506.28,509.04,98597008
2026-05-14,509.04,512.19,505.56,509.72,65077472
2026-05-15,509.72,511.19,509.33,509.52,58779424
2026-05-18,509.52,513.73,509.44,512.25,87129685
2026-05-19,512.25,526.42,511.3,524.31,55302875
2026-05-20,524.31,530.65,523.3,528.22,69481977
2026-05-21,528.22,530.24,522.78,523.78,64757704
2026-05-22,523.78,524.65,516.87,517.18,66749200
2026-05-25,517.18,518.14,507.5,509.13,79727646
2026-05-26,509.13,510.93,507.68,508.97,59868742
2026-05-27,508.97,510.6,500.9,503.82,73853150
2026-05-28,503.82,510.25,501.93,509.27,59473679
2026-05-29,509.27,514.34,507.2,508.76,61229518
2026-06-01,508.76,509.42,506.11,508.57,61440170
2026-06-02,508.57,509.14,500.77,500.8,71916914
2026-06-03,500.8,507.58,499.18,506.94,50730510
2026-06-04,506.94,515.39,505.37,511.1,74437225
2026-06-05,511.1,515.68,509.21,512.02,68055708
2026-06-08,512.02,515.87,511.12,514.34,75378124
2026-06-09,514.34,514.59,512.99,513.26,50022110
2026-06-10,513.26,515.17,511.27,513.37,65780894
2026-06-11,513.37,518.86,512.99,516.64,51447728
2026-06-12,516.64,526.96,512.47,522.13,66164338
2026-06-15,522.13,526.07,521.91,525.81,97085748
2026-06-16,525.81,528.03,519.68,519.78,94649460
2026-06-17,519.78,522.27,519.21,520.87,82879424
2026-06-18,520.87,522.26,519.78,521.24,65342968
2026-06-19,521.24,527.14,520.93,525.67,71197184
2026-06-22,525.67,531.76,524.19,530.78,66700377
2026-06-23,530.78,539.66,528.25,536.68,58813075
2026-06-24,536.68,539.38,531.37,531.58,50754101
2026-06-25,531.58,533.56,527.54,530.07,62525773
2026-06-26,530.07,533.74,528.71,532.22,76213131
2026-06-29,532.22,533.42,531.17,532.28,71173103
2026-06-30,532.28,533.84,531.38,532.64,89483401
2026-07-01,532.64,535.77,530.08,533.88,80304739
2026-07-02,533.88,546.8,532.15,545.0,64432480
2026-07-03,545.0,558.09,540.74,554.32,53044840
2026-07-06,554.32,559.62,552.69,557.86,68759856
2026-07-07,557.86,561.83,557.68,560.37,87977784
2026-07-08,560.37,561.79,546.92,549.2,86776861
2026-07-09,549.2,551.15,547.46,548.28,54051663
2026-07-10,548.28,551.72,543.94,544.0,78694411
2026-07-13,544.0,549.54,541.72,549.23,70314317
2026-07-14,549.23,550.49,546.66,548.98,64024897
2026-07-15,548.98,549.34,547.82,548.0,54242856
2026-07-16,548.0,554.18,546.99,553.29,55554229
2026-07-17,553.29,556.17,552.36,555.3,105365565
2026-07-20,555.3,561.34,553.17,557.37,58410190
2026-07-21,557.37,558.35,555.54,555.68,70865569
2026-07-22,555.68,559.7,553.97,554.47,66817125
2026-07-23,554.47,558.16,552.88,556.55,66162183
2026-07-24,556.55,561.33,552.65,558.14,51343847
2026-07-27,558.14,560.29,544.62,548.1,51509746
2026-07-28,548.1,554.56,547.45,551.54,64404658
2026-07-29,551.54,552.79,547.59,551.46,73407361
2026-07-30,551.46,554.45,550.17,552.3,65693734
